Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Mamu's Infusion Cafe,"World Trade Park,Malviya Nagar, South Jaipur", South Jaipur,Jaipur,"Italian,  North Indian,  Chinese,  Mexican,  Fast Food",4.6,18,700
Royal Cafe,"Sahara Ganj Mall,Hazratganj, Central Lucknow", Central Lucknow,Lucknow,"North Indian,  Fast Food",3.3,18,1100
Cosme Multi Cuisine Restaurant,"Hotel Levana Suites,Hazratganj, Central Lucknow", Central Lucknow,Lucknow,"North Indian,  Chinese,  Continental",4.1,18,2000
The Pizza Dine,"Aliganj, North Lucknow", North Lucknow,Lucknow,Pizza,3.8,18,500
10 Downing Street,"Malhar Mega Mall,Vijay Nagar, East Indore", East Indore,Indore,Finger Food,4,18,1600
The Tick Tock Cafe,"Shobhagpura, West Udaipur", West Udaipur,Udaipur,"North Indian,  Fast Food,  Chinese,  Coffee,  Shakes",4.4,18,700
Wonder Terrace Bar & Kitchen,"Radisson Hotel Agra Taj East Gate,Tajganj, East Agra", East Agra,Agra,"North Indian,  Continental,  Finger Food",4.3,18,4200
Lord Of The Drinks,"Tajganj, East Agra", East Agra,Agra,"North Indian,  Chinese,  European,  Italian",3.5,18,1500
Ten Tables Tandoor Family Restaurant,"Manish Nagar, South Nagpur", South Nagpur,Nagpur,North Indian,4.3,18,800
Nini's Kitchen,"International Business Center,Piplod, South Surat", South Surat,Surat,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Lebanese,  Fast Food",4.5,18,1200
Neo Politan Pizza,"Prime Shoppers,Vesu, South Surat", South Surat,Surat,"Fast Food,  Pizza,  Italian",3.3,18,500
Gyan's Restaurant,"East Patel Nagar, West Delhi", West Delhi,Delhi,North Indian,4.1,17,800
Two Pots Kitchen,"Janakpuri, West Delhi", West Delhi,Delhi,"Italian,  Chinese,  Continental,  Lebanese,  Desserts",4.9,17,600
The Tummy Section,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Fast Food,  Chinese",3.5,17,600
The Reader's Cafe,"Sector 18, Noida", Noida,Noida,"Italian,  Continental",4.2,17,1200
Uncle's Family Restaurant,"Sector 11, Noida", Noida,Noida,"North Indian,  Chinese",3.4,17,600
Kake Da Hotel,"Mefcons Plaza,Dwarka, West Delhi", West Delhi,Delhi,North Indian,4.2,17,1000
Metro,"Apra Plaza,Dwarka, West Delhi", West Delhi,Delhi,"Mughlai,  North Indian,  Chinese",3.4,17,800
Srinathji's,"Jagdamba Bhavan,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Desserts,  Bakery and Confectionary",4.3,17,500
Dhuri Veg World,"Vasai West, North Western", North Western,Mumbai,"North Indian,  South Indian,  Fast Food",4.3,17,1400
Mani's Dum Biryani,"Ulsoor, Central Bangalore", Central Bangalore,Bangalore,Biryani,4.8,17,700
The Bangalore Street Club,"Lido Mall,Ulsoor, Central Bangalore", Central Bangalore,Bangalore,"North Indian,  South Indian,  Fast Food",4.1,17,900
Bangaliana,"Koramangala, South Bangalore", South Bangalore,Bangalore,"Bengali,  Seafood",3.9,17,600
Cuppa Redifined,"Mathikere, North Bangalore", North Bangalore,Bangalore,"Continental,  Fast Food,  Tea",3.7,17,300
Dr. Sheesha,"BTM Layout, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese,  Continental,  Fast Food",3.7,17,900
Wow! Momo,"Elements Mall,Nagawara, North Bangalore", North Bangalore,Bangalore,"Tibetan,  Chinese",3.6,17,400
Haji Ali Juice Centre,"Chetpet, Central Chennai", Central Chennai,Chennai,"Fast Food,  Juice,  Shakes,  Desserts,  Ice Cream",4.3,17,500
Dindigul Thalappakatti,"Guindy, South Chennai", South Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.1,17,700
That Waffle Place,"Royapettah, Central Chennai", Central Chennai,Chennai,"Desserts,  Waffle",4.1,17,300
Neyyar,"Grand Tiara Hotel,St. Thomas Mount, West Chennai", West Chennai,Chennai,"Kerala,  North Indian,  Chinese",4,17,600
Bombay Halwa House,"Windsor Palace,Kilpauk, North Chennai", North Chennai,Chennai,"North Indian,  Chinese",3.9,17,500
Palmshore,"Maduravoyal, West Chennai", West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  Seafood",4,17,1000
W xyz,"Aloft Chennai,Sholinganallur, South West Chennai", South West Chennai,Chennai,Finger Food,3.9,17,1600
Cups & Plates,"Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,"North Indian,  Chinese,  European",3.7,17,1000
